,省份,城市,河流,流域,断面名称,水质类别,水温,pH,pH类别,溶解氧,溶解氧类别,高锰酸盐指数,高锰酸盐类别,氨氮,氨氮类别,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
2021-10-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-04 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,24.44,8.09,-,6.88,-,1.599,-,0.0564,-,0.0692,2.766,649.0,13.4,,,正常
2021-10-04 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,24.19,8.06,-,6.6,-,1.524,-,0.0709,-,0.0736,2.809,655.0,13.7,,,正常
2021-10-04 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,22.84,8.06,-,7.42,-,1.524,-,0.0709,-,0.0736,2.809,658.0,9.4,,,正常
2021-10-04 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,22.36,8.08,-,7.38,-,1.687,-,0.056,-,0.0925,2.62,605.0,21.0,,,正常
2021-10-04 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,21.33,7.74,-,7.32,-,10.766,-,0.1835,-,0.0925,,456.0,1176.7,,,维护
2021-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-05 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,21.48,7.96,-,7.36,-,3.262,-,0.2017,-,0.2064,3.231,560.0,126.1,,,正常
2021-10-05 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,21.26,8.01,-,7.69,-,5.777,-,0.1409,-,0.2005,3.151,557.0,166.3,,,正常
2021-10-05 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,21.34,7.86,-,8.11,-,2.234,-,0.6151,-,0.1784,3.081,554.0,50.4,,,正常
2021-10-05 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,20.36,7.79,-,8.2,-,2.127,-,0.2366,-,0.1677,2.78,498.0,51.1,,,正常
2021-10-05 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.93,7.73,-,8.19,-,2.127,-,0.2366,-,0.1677,2.78,466.0,69.5,,,正常
2021-10-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-06 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,19.58,7.57,-,8.3,-,4.318,-,0.1508,-,0.263,2.849,404.0,119.6,,,正常
2021-10-06 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,19.22,7.53,-,8.25,-,4.251,-,0.1601,-,0.2604,2.824,404.0,120.6,,,正常
2021-10-06 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,19.38,7.61,-,8.37,-,4.302,-,0.1315,-,0.2548,2.484,410.0,118.3,,,正常
2021-10-06 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,19.9,7.71,-,8.44,-,4.104,-,0.0808,-,0.2322,2.276,421.0,100.9,,,正常
2021-10-06 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,19.5,7.71,-,8.5,-,4.104,-,0.0808,-,0.2322,2.276,427.0,87.1,,,正常
2021-10-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-07 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.3,7.76,-,8.54,-,2.862,-,0.0824,-,0.1871,2.174,456.0,66.4,,,正常
2021-10-07 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.41,7.72,-,8.34,-,2.862,-,0.0824,-,0.1871,2.174,474.0,54.9,,,正常
2021-10-07 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,20.12,7.85,-,8.45,-,2.355,-,0.0829,-,0.1591,2.481,489.0,53.1,,,正常
2021-10-07 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-07 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-08 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.27,7.88,-,8.58,-,2.194,-,0.0616,-,0.1497,2.174,493.0,38.5,,,正常
2021-10-08 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.11,7.84,-,8.57,-,2.164,-,0.0593,-,0.1382,2.223,500.0,36.3,,,正常
2021-10-08 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.16,7.86,-,8.68,-,1.987,-,0.0595,-,0.1355,2.186,502.0,35.1,,,正常
2021-10-08 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,20.11,7.96,-,8.69,-,1.936,-,0.0668,-,0.1327,2.29,507.0,34.3,,,正常
2021-10-08 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-08 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.43,7.97,-,8.72,-,1.941,-,0.142,-,0.1461,2.198,513.0,28.8,,,正常
2021-10-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-09 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.35,8.01,-,8.75,-,1.433,-,0.1179,-,0.1461,2.223,525.0,23.1,,,正常
2021-10-09 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.31,7.99,-,8.53,-,1.322,-,0.1051,-,0.1461,2.255,537.0,23.9,,,正常
2021-10-09 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.86,8.06,-,8.94,-,1.217,-,0.1878,-,0.1205,2.284,530.0,27.8,,,正常
2021-10-09 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.75,8.02,-,8.87,-,1.217,-,0.1878,-,0.1205,2.284,543.0,23.4,,,正常
2021-10-09 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-10 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.64,7.99,-,8.88,-,1.378,-,0.0754,-,0.1034,2.284,554.0,19.0,,,正常
2021-10-10 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.54,7.96,-,8.86,-,1.287,-,0.0794,-,0.1018,2.355,560.0,19.0,,,正常
2021-10-10 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.84,8.0,-,9.1,-,1.167,-,0.0735,-,0.1158,2.305,560.0,20.1,,,正常
2021-10-10 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.09,8.04,-,9.16,-,1.196,-,0.05,-,0.099,2.279,564.0,22.1,,,正常
2021-10-10 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.56,8.0,-,9.02,-,1.196,-,0.05,-,0.099,2.279,567.0,20.8,,,正常
2021-10-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-11 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.28,7.8,-,8.52,-,1.258,-,0.1018,-,0.1123,2.591,579.0,20.4,,,正常
2021-10-11 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.22,7.86,-,8.68,-,1.275,-,0.0674,-,0.1297,2.543,579.0,29.0,,,正常
2021-10-11 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.53,8.67,-,9.35,-,1.275,-,0.3479,-,0.1297,2.543,21.0,1.7,,,正常
2021-10-11 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-11 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,20.91,8.35,-,9.07,-,1.275,-,0.3479,-,0.1297,2.543,19.0,1.9,,,正常
2021-10-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-12 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,22.06,8.24,-,8.83,-,1.275,-,0.025,-,0.1297,2.543,11.0,1.9,,,正常
2021-10-12 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,22.11,8.36,-,8.85,-,6.239,-,0.025,-,0.1465,5.845,12.0,2.0,,,正常
2021-10-12 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-12 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,19.17,7.94,-,9.34,-,6.199,-,0.1953,-,0.1191,2.464,578.0,26.1,,,正常
2021-10-12 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-13 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.46,7.9,-,9.06,-,1.179,-,0.165,-,0.1295,2.641,579.0,27.7,,,正常
2021-10-13 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.42,8.02,-,9.44,-,1.13,-,0.1045,-,0.1127,2.273,561.0,23.8,,,正常
2021-10-13 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,20.65,8.12,-,9.54,-,1.231,-,0.0791,-,0.1188,2.27,560.0,29.2,,,正常
2021-10-13 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,20.28,8.06,-,9.23,-,1.125,-,0.1001,-,0.113,2.351,576.0,24.1,,,正常
2021-10-13 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-14 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.28,8.02,-,9.37,-,1.186,-,0.1201,-,0.1051,2.246,564.0,21.2,,,正常
2021-10-14 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.51,8.01,-,9.25,-,1.046,-,0.0972,-,0.0984,2.371,570.0,20.2,,,正常
2021-10-14 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,20.09,8.07,-,9.29,-,1.181,-,0.0796,-,0.094,2.432,589.0,20.2,,,正常
2021-10-14 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,20.65,8.11,-,9.54,-,1.181,-,0.0796,-,0.094,2.432,593.0,18.1,,,正常
2021-10-14 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-15 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.48,8.05,-,9.13,-,0.957,-,0.043,-,0.0882,2.311,570.0,18.2,,,正常
2021-10-15 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.55,8.07,-,9.16,-,5.872,-,0.1348,-,0.0908,2.172,571.0,20.0,,,正常
2021-10-15 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.45,8.19,-,9.53,-,1.031,-,0.052,-,0.0907,2.225,570.0,17.9,,,正常
2021-10-15 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.31,8.19,-,9.63,-,1.031,-,0.052,-,0.0907,2.225,568.0,17.2,,,正常
2021-10-15 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.37,8.12,-,9.26,-,0.965,-,0.0811,-,0.0903,2.514,570.0,15.4,,,正常
2021-10-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-16 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.8,8.07,-,9.54,-,1.004,-,0.0894,-,0.0908,2.305,562.0,17.9,,,正常
2021-10-16 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.97,7.97,-,9.56,-,0.928,-,0.1069,-,0.0907,2.319,566.0,17.7,,,正常
2021-10-16 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,20.0,8.16,-,9.85,-,0.967,-,0.0952,-,0.092,2.344,568.0,18.8,,,正常
2021-10-16 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.49,8.1,-,9.91,-,0.943,-,0.085,-,0.0903,2.196,564.0,19.3,,,正常
2021-10-16 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.25,8.01,-,9.51,-,0.943,-,0.085,-,0.0903,2.196,571.0,18.0,,,正常
2021-10-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-17 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.85,7.92,-,9.49,-,1.137,-,0.1143,-,0.1012,2.715,583.0,20.3,,,正常
2021-10-17 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.56,7.9,-,9.57,-,1.063,-,0.1211,-,0.0998,2.57,578.0,22.0,,,正常
2021-10-17 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.41,8.05,-,9.93,-,1.1,-,0.105,-,0.0987,2.356,570.0,21.7,,,正常
2021-10-17 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.14,8.04,-,9.85,-,1.135,-,0.0942,-,0.0946,2.27,573.0,21.3,,,正常
2021-10-17 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.59,7.94,-,9.4,-,1.135,-,0.0942,-,0.0946,2.27,581.0,19.4,,,正常
2021-10-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-18 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.28,7.93,-,9.42,-,1.12,-,0.1094,-,0.0917,2.563,572.0,18.4,,,正常
2021-10-18 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.53,7.96,-,9.52,-,1.189,-,0.1191,-,0.0955,2.586,569.0,21.3,,,正常
2021-10-18 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.14,8.16,-,10.04,-,1.1,-,0.1108,-,0.092,2.342,563.0,20.5,,,正常
2021-10-18 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.44,8.09,-,10.01,-,1.031,-,0.1001,-,0.0846,2.383,570.0,17.6,,,正常
2021-10-18 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.73,8.02,-,9.53,-,1.031,-,0.1001,-,0.0846,2.383,566.0,17.6,,,正常
2021-10-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-19 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.42,7.92,-,9.2,-,1.014,-,0.1221,-,0.0838,2.314,571.0,16.3,,,正常
2021-10-19 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.36,7.91,-,9.19,-,0.984,-,0.1348,-,0.085,2.35,571.0,17.7,,,正常
2021-10-19 12:00:00,四川省,德阳市,绵远河,长江流域,八角,劣Ⅴ,18.37,9.59,-,9.58,-,0.965,-,0.125,-,0.0894,2.508,24.0,401.9,,,正常
2021-10-19 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.41,7.42,-,9.83,-,0.979,-,0.1118,-,0.0886,2.37,567.0,18.6,,,正常
2021-10-19 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-20 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.9,7.39,-,9.43,-,0.923,-,0.1206,-,0.0804,2.41,572.0,14.9,,,正常
2021-10-20 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.87,7.41,-,9.49,-,0.893,-,0.1221,-,0.0776,2.287,568.0,13.9,,,正常
2021-10-20 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.45,7.6,-,10.09,-,0.893,-,0.1221,-,0.0776,2.287,565.0,15.9,,,正常
2021-10-20 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.89,7.62,-,10.24,-,1.164,-,0.1089,-,0.1293,2.443,566.0,54.9,,,正常
2021-10-20 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.14,7.48,-,9.62,-,1.164,-,0.1089,-,0.1293,2.443,565.0,15.9,,,正常
2021-10-21 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.95,7.48,-,9.65,-,0.947,-,0.1064,-,0.0822,2.608,562.0,15.1,,,正常
2021-10-21 04:00:00,四川省,德阳市,绵远河,长江流域,八角,劣Ⅴ,16.87,7.38,-,9.35,-,2.705,-,0.1079,-,0.4307,2.892,566.0,22.3,,,正常
2021-10-21 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.89,7.43,-,9.6,-,1.304,-,0.1196,-,0.1559,2.429,563.0,15.4,,,正常
2021-10-21 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.41,7.58,-,10.03,-,1.24,-,0.1167,-,0.1213,2.265,556.0,21.5,,,正常
2021-10-21 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.64,7.54,-,10.08,-,1.085,-,0.1089,-,0.0942,2.243,560.0,19.3,,,正常
2021-10-21 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.93,7.45,-,9.72,-,1.085,-,0.1089,-,0.0942,2.243,563.0,19.3,,,正常
2021-10-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-22 04:00:00,四川省,德阳市,绵远河,长江流域,八角,劣Ⅴ,16.6,7.37,-,9.4,-,2.498,-,0.1182,-,0.4072,2.817,574.0,24.2,,,正常
2021-10-22 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.55,7.41,-,9.6,-,1.469,-,0.1206,-,0.1695,2.589,579.0,21.2,,,正常
2021-10-22 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.34,7.51,-,9.87,-,1.194,-,0.125,-,0.1177,2.581,597.0,30.5,,,正常
2021-10-22 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.83,7.61,-,10.66,-,1.297,-,0.1133,-,0.1192,2.559,604.0,34.7,,,正常
2021-10-22 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.83,7.44,-,9.39,-,1.297,-,0.1133,-,0.1192,2.559,597.0,17.7,,,正常
2021-10-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-23 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.63,7.43,-,9.25,-,1.034,-,0.1182,-,0.0822,2.374,594.0,13.7,,,正常
2021-10-23 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.69,7.43,-,9.25,-,1.046,-,0.1299,-,0.0806,2.474,592.0,12.8,,,正常
2021-10-23 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.83,7.66,-,10.02,-,1.189,-,0.1162,-,0.14,2.519,585.0,52.0,,,正常
2021-10-23 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.9,7.66,-,10.46,-,1.11,-,0.1118,-,0.1265,2.407,582.0,44.9,,,正常
2021-10-23 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.98,7.52,-,9.67,-,1.041,-,0.1118,-,0.0952,2.473,582.0,21.3,,,正常
2021-10-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-24 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-24 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.52,7.4,-,9.31,-,0.856,-,0.1328,-,0.0813,2.487,597.0,14.0,,,正常
2021-10-24 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,21.24,7.69,-,10.44,-,1.563,-,0.127,-,0.2217,2.481,595.0,130.7,,,正常
2021-10-24 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,18.69,7.59,-,10.16,-,1.563,-,0.127,-,0.2217,2.481,589.0,132.2,,,正常
2021-10-24 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.38,7.48,-,9.32,-,1.501,-,0.1279,-,0.2274,2.477,593.0,66.8,,,正常
2021-10-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-25 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.03,7.4,-,9.06,-,1.184,-,0.1797,-,0.1163,2.563,608.0,31.4,,,正常
2021-10-25 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.02,7.43,-,9.12,-,1.078,-,0.1768,-,0.1104,2.503,606.0,30.4,,,正常
2021-10-25 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.77,7.51,-,9.89,-,1.41,-,0.166,-,0.176,2.534,610.0,75.5,,,正常
2021-10-25 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.61,7.6,-,10.09,-,1.494,-,0.1357,-,0.1778,2.464,608.0,75.6,,,正常
2021-10-25 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-26 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.85,7.46,-,9.22,-,1.167,-,0.1328,-,0.1226,2.438,612.0,24.4,,,正常
2021-10-26 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.85,7.43,-,9.21,-,1.147,-,0.1338,-,0.0967,2.488,616.0,22.2,,,正常
2021-10-26 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.98,7.44,-,9.24,-,1.039,-,0.1396,-,0.0931,2.498,615.0,20.2,,,正常
2021-10-26 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,19.23,7.7,-,10.2,-,1.774,-,0.1348,-,0.306,2.642,615.0,217.0,,,正常
2021-10-26 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,19.06,7.74,-,10.4,-,2.18,-,0.1289,-,0.3537,2.712,613.0,264.4,,,正常
2021-10-26 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-27 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.03,7.57,-,9.35,-,1.334,-,0.1338,-,0.1593,2.514,618.0,62.9,,,正常
2021-10-27 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.1,7.54,-,9.39,-,1.221,-,0.1406,-,0.1486,2.425,619.0,62.3,,,正常
2021-10-27 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.5,7.65,-,9.99,-,1.368,-,0.124,-,0.155,2.411,620.0,61.2,,,正常
2021-10-27 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.53,7.66,-,10.14,-,3.094,-,0.1211,-,0.1518,2.495,631.0,54.6,,,正常
2021-10-27 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.08,7.6,-,9.53,-,1.75,-,0.124,-,0.1251,2.457,634.0,43.5,,,正常
2021-10-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-28 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.86,7.57,-,9.53,-,1.518,-,0.126,-,0.1277,2.46,635.0,42.0,,,正常
2021-10-28 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.94,7.55,-,9.48,-,1.373,-,0.1338,-,0.1054,2.731,637.0,25.5,,,正常
2021-10-28 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.38,7.55,-,9.71,-,1.464,-,0.1279,-,0.1339,2.667,637.0,41.7,,,正常
2021-10-28 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.66,7.66,-,9.99,-,1.578,-,0.125,-,0.1504,2.654,626.0,55.9,,,正常
2021-10-28 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.22,7.53,-,9.77,-,1.578,-,0.125,-,0.1504,2.654,615.0,124.3,,,正常
2021-10-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-29 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,16.94,7.47,-,9.51,-,2.5,-,0.125,-,0.3432,2.528,599.0,40.4,,,正常
2021-10-29 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.11,7.43,-,9.21,-,1.388,-,0.1348,-,0.1382,2.476,623.0,21.4,,,正常
2021-10-29 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,20.96,7.73,-,9.96,-,1.39,-,0.123,-,0.1321,2.247,602.0,35.4,,,正常
2021-10-29 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,20.43,7.61,-,9.39,-,1.39,-,0.1494,-,0.3481,2.395,595.0,254.9,,,正常
2021-10-29 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.51,7.46,-,9.27,-,1.351,-,0.1279,-,0.1223,2.368,604.0,27.2,,,正常
2021-10-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-30 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-30 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.05,7.39,-,9.47,-,1.162,-,0.1426,-,0.0973,2.479,591.0,18.8,,,正常
2021-10-30 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,19.93,7.69,-,9.95,-,1.294,-,0.1309,-,0.2185,2.364,569.0,113.8,,,正常
2021-10-30 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.11,7.67,-,10.38,-,1.213,-,0.1147,-,0.0919,2.562,591.0,18.2,,,正常
2021-10-30 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.16,7.47,-,9.1,-,1.13,-,0.127,-,0.0905,2.387,605.0,19.4,,,正常
2021-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-10-31 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.56,7.53,-,9.5,-,1.13,-,0.1309,-,0.1266,2.08,572.0,40.7,,,正常
2021-10-31 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.58,7.42,-,9.03,-,1.13,-,0.1309,-,0.1266,2.08,594.0,15.1,,,正常
2021-10-31 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.81,7.79,-,10.13,-,1.011,-,0.1387,-,0.0883,2.268,573.0,25.5,,,正常
2021-10-31 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.1,7.63,-,9.68,-,1.186,-,0.1396,-,0.1131,2.188,585.0,27.2,,,正常
2021-10-31 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.86,7.52,-,9.18,-,1.186,-,0.1396,-,0.1131,2.188,583.0,16.0,,,正常
2021-11-01 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.67,7.5,-,9.2,-,1.144,-,0.1514,-,0.0932,2.259,575.0,19.0,,,正常
2021-11-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-11-01 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.56,7.46,-,9.4,-,1.09,-,0.1377,-,0.1038,2.332,572.0,18.8,,,正常
2021-11-01 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.13,7.54,-,9.73,-,1.139,-,0.1245,-,0.1356,1.975,563.0,46.7,,,正常
2021-11-01 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.04,7.63,-,9.88,-,1.125,-,0.1147,-,0.1082,2.016,567.0,25.2,,,正常
2021-11-01 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.63,7.59,-,9.59,-,1.125,-,0.1147,-,0.1082,2.016,563.0,64.5,,,正常
2021-11-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
